zipcode,ziptype,postalcity,zcta5,neighborhoodlabel,boro
10001,ZIP Code area,New York,10001,"Chelsea,  West Midtown",Manhattan
10118,Post Office or large volume customer,New York,10001,"Chelsea,  West Midtown",Manhattan
10120,Post Office or large volume customer,New York,10001,"Chelsea,  West Midtown",Manhattan
10122,Post Office or large volume customer,New York,10001,"Chelsea,  West Midtown",Manhattan
10123,Post Office or large volume customer,New York,10001,"Chelsea,  West Midtown",Manhattan
10125,Post Office or large volume customer,New York,10001,"Chelsea,  West Midtown",Manhattan
10130,Post Office or large volume customer,New York,10001,"Chelsea,  West Midtown",Manhattan
10002,ZIP Code area,New York,10002,Lower East Side,Manhattan
10003,ZIP Code area,New York,10003,"Greenwich Village, Union Square, Gramercy, Flatiron",Manhattan
10114,Post Office or large volume customer,New York,10003,"Greenwich Village, Union Square, Gramercy, Flatiron",Manhattan
10276,Post Office or large volume customer,New York,10003,"Greenwich Village, Union Square, Gramercy, Flatiron",Manhattan
10004,ZIP Code area,New York,10004,Battery Park City,Manhattan
10041,Post Office or large volume customer,New York,10004,Battery Park City,Manhattan
10045,Post Office or large volume customer,New York,10004,Battery Park City,Manhattan
10274,Post Office or large volume customer,New York,10004,Battery Park City,Manhattan
10275,Post Office or large volume customer,New York,10004,Battery Park City,Manhattan
10005,ZIP Code area,New York,10005,Financial District,Manhattan
10043,Post Office or large volume customer,New York,10005,Financial District,Manhattan
10081,Post Office or large volume customer,New York,10005,Financial District,Manhattan
10203,Post Office or large volume customer,New York,10005,Financial District,Manhattan
10257,Post Office or large volume customer,New York,10005,Financial District,Manhattan
10260,Post Office or large volume customer,New York,10005,Financial District,Manhattan
10265,Post Office or large volume customer,New York,10005,Financial District,Manhattan
10268,Post Office or large volume customer,New York,10005,Financial District,Manhattan
10269,Post Office or large volume customer,New York,10005,Financial District,Manhattan
10270,Post Office or large volume customer,New York,10005,Financial District,Manhattan
10286,Post Office or large volume customer,New York,10005,Financial District,Manhattan
10006,ZIP Code area,New York,10006,"Financial District, Battery Park City",Manhattan
10256,Post Office or large volume customer,New York,10006,"Financial District, Battery Park City",Manhattan
10007,ZIP Code area,New York,10007,"Tribeca, Financial District",Manhattan
10008,Post Office or large volume customer,New York,10007,"Tribeca, Financial District",Manhattan
10242,Post Office or large volume customer,New York,10007,"Tribeca, Financial District",Manhattan
10249,Post Office or large volume customer,New York,10007,"Tribeca, Financial District",Manhattan
10009,ZIP Code area,New York,10009,East Village,Manhattan
10010,ZIP Code area,New York,10010,"Gramercy, Flatiron",Manhattan
10159,Post Office or large volume customer,New York,10010,"Gramercy, Flatiron",Manhattan
10160,Post Office or large volume customer,New York,10010,"Gramercy, Flatiron",Manhattan
10011,ZIP Code area,New York,10011,"Chelsea ,  Village",Manhattan
10113,Post Office or large volume customer,New York,10011,"Chelsea ,  Village",Manhattan
10161,Post Office or large volume customer,New York,10011,"Chelsea ,  Village",Manhattan
10012,ZIP Code area,New York,10012,"Village, NoHo, Soho",Manhattan
10013,ZIP Code area,New York,10013,"Tribeca, Soho",Manhattan
10213,Post Office or large volume customer,New York,10013,"Tribeca, Soho",Manhattan
10014,ZIP Code area,New York,10014,"West Village, Soho",Manhattan
10016,ZIP Code area,New York,10016,"Murray Hill, Kips Bay",Manhattan
10138,Post Office or large volume customer,New York,10016,"Murray Hill, Kips Bay",Manhattan
10156,Post Office or large volume customer,New York,10016,"Murray Hill, Kips Bay",Manhattan
10157,Post Office or large volume customer,New York,10016,"Murray Hill, Kips Bay",Manhattan
10158,Post Office or large volume customer,New York,10016,"Murray Hill, Kips Bay",Manhattan
10017,ZIP Code area,New York,10017,Midtown East,Manhattan
10087,Post Office or large volume customer,New York,10017,Midtown East,Manhattan
10163,Post Office or large volume customer,New York,10017,Midtown East,Manhattan
10164,Post Office or large volume customer,New York,10017,Midtown East,Manhattan
10166,Post Office or large volume customer,New York,10017,Midtown East,Manhattan
10175,Post Office or large volume customer,New York,10017,Midtown East,Manhattan
10178,Post Office or large volume customer,New York,10017,Midtown East,Manhattan
10179,Post Office or large volume customer,New York,10017,Midtown East,Manhattan
10259,Post Office or large volume customer,New York,10017,Midtown East,Manhattan
10261,Post Office or large volume customer,New York,10017,Midtown East,Manhattan
10018,ZIP Code area,New York,10018,Midtown West,Manhattan
10129,Post Office or large volume customer,New York,10018,Midtown West,Manhattan
10019,ZIP Code area,New York,10019,Midtown West,Manhattan
10101,Post Office or large volume customer,New York,10019,Midtown West,Manhattan
10102,Post Office or large volume customer,New York,10019,Midtown West,Manhattan
10104,Post Office or large volume customer,New York,10019,Midtown West,Manhattan
10105,Post Office or large volume customer,New York,10019,Midtown West,Manhattan
10106,Post Office or large volume customer,New York,10019,Midtown West,Manhattan
10107,Post Office or large volume customer,New York,10019,Midtown West,Manhattan
10020,ZIP Code area,New York,10020,Midtown West,Manhattan
10021,ZIP Code area,New York,10021,Upper East Side,Manhattan
10131,Post Office or large volume customer,New York,10021,Upper East Side,Manhattan
10022,ZIP Code area,New York,10022,Midtown East,Manhattan
10055,Post Office or large volume customer,New York,10022,Midtown East,Manhattan
10126,Post Office or large volume customer,New York,10022,Midtown East,Manhattan
10150,Post Office or large volume customer,New York,10022,Midtown East,Manhattan
10151,Post Office or large volume customer,New York,10022,Midtown East,Manhattan
10155,Post Office or large volume customer,New York,10022,Midtown East,Manhattan
10023,ZIP Code area,New York,10023,Upper West Side,Manhattan
10133,Post Office or large volume customer,New York,10023,Upper West Side,Manhattan
10024,ZIP Code area,New York,10024,Upper West Side,Manhattan
10132,Post Office or large volume customer,New York,10024,Upper West Side,Manhattan
10025,ZIP Code area,New York,10025,Upper West Side,Manhattan
10026,ZIP Code area,New York,10026,"Manhattan Valley, Morningside Heights, Harlem",Manhattan
10027,ZIP Code area,New York,10027,"Mt. Morris Park, Morningside Heights",Manhattan
10116,Post Office or large volume customer,New York,10027,"Mt. Morris Park, Morningside Heights",Manhattan
10028,ZIP Code area,New York,10028,Upper East Side,Manhattan
10029,ZIP Code area,New York,10029,"East Harlem, Carnegie Hill",Manhattan
10030,ZIP Code area,New York,10030,Harlem,Manhattan
10031,ZIP Code area,New York,10031,"Hamilton Heights, Sugar Hill",Manhattan
10032,ZIP Code area,New York,10032,Washington Heights,Manhattan
10033,ZIP Code area,New York,10033,Washington Heights,Manhattan
10034,ZIP Code area,New York,10034,Inwood,Manhattan
10035,ZIP Code area,New York,10035,Harlem,Manhattan
10036,ZIP Code area,New York,10036,Midtown West,Manhattan
10108,Post Office or large volume customer,New York,10036,Midtown West,Manhattan
10109,Post Office or large volume customer,New York,10036,Midtown West,Manhattan
10176,Post Office or large volume customer,New York,10036,Midtown West,Manhattan
10185,Post Office or large volume customer,New York,10036,Midtown West,Manhattan
10037,ZIP Code area,New York,10037,Harlem,Manhattan
10038,ZIP Code area,New York,10038,"Financial District, Seaport",Manhattan
10272,Post Office or large volume customer,New York,10038,"Financial District, Seaport",Manhattan
10273,Post Office or large volume customer,New York,10038,"Financial District, Seaport",Manhattan
10292,Post Office or large volume customer,New York,10038,"Financial District, Seaport",Manhattan
10039,ZIP Code area,New York,10039,Harlem,Manhattan
10040,ZIP Code area,New York,10040,"Washington Hts, Hudson Hts",Manhattan
10044,ZIP Code area,New York,10044,"Washington Hts, Hudson Hts",Manhattan
10065,ZIP Code area,New York,10065,Upper East Side,Manhattan
10069,ZIP Code area,New York,10069,Upper West Side,Manhattan
10075,ZIP Code area,New York,10075,Upper East Side,Manhattan
10103,Post Office or large volume customer,New York,10103,Midtown West,Manhattan
10110,Post Office or large volume customer,New York,10110,Midtown West,Manhattan
10111,Post Office or large volume customer,New York,10111,Midtown West,Manhattan
10112,Post Office or large volume customer,New York,10112,Midtown West,Manhattan
10115,Post Office or large volume customer,New York,10115,Midtown West,Manhattan
10117,Post Office or large volume customer,New York,10119,Midtown West,Manhattan
10119,Post Office or large volume customer,New York,10119,Midtown West,Manhattan
10121,Post Office or large volume customer,New York,10119,Midtown West,Manhattan
10128,ZIP Code area,New York,10128,Upper East Side,Manhattan
10124,Post Office or large volume customer,New York,10152,Upper East Side,Manhattan
10152,Post Office or large volume customer,New York,10152,Upper East Side,Manhattan
10153,Post Office or large volume customer,New York,10153,Upper East Side,Manhattan
10154,Post Office or large volume customer,New York,10154,Upper East Side,Manhattan
10162,Post Office or large volume customer,New York,10162,Upper East Side,Manhattan
10165,Post Office or large volume customer,New York,10165,Upper East Side,Manhattan
10167,Post Office or large volume customer,New York,10167,Upper East Side,Manhattan
10168,Post Office or large volume customer,New York,10168,Upper East Side,Manhattan
10169,Post Office or large volume customer,New York,10169,Upper East Side,Manhattan
10170,Post Office or large volume customer,New York,10170,Upper East Side,Manhattan
10171,Post Office or large volume customer,New York,10171,Upper East Side,Manhattan
10172,Post Office or large volume customer,New York,10172,Upper East Side,Manhattan
10173,Post Office or large volume customer,New York,10173,Upper East Side,Manhattan
10174,Post Office or large volume customer,New York,10174,Upper East Side,Manhattan
10177,Post Office or large volume customer,New York,10177,Upper East Side,Manhattan
10060,Post Office or large volume customer,New York,10199,Upper East Side,Manhattan
10090,Post Office or large volume customer,New York,10199,Upper East Side,Manhattan
10095,Post Office or large volume customer,New York,10199,Upper East Side,Manhattan
10199,Post Office or large volume customer,New York,10199,Upper East Side,Manhattan
10211,Post Office or large volume customer,New York,10199,Upper East Side,Manhattan
10212,Post Office or large volume customer,New York,10199,Upper East Side,Manhattan
10258,Post Office or large volume customer,New York,10271,Upper East Side,Manhattan
10271,Post Office or large volume customer,New York,10271,Upper East Side,Manhattan
10277,Post Office or large volume customer,New York,10278,Upper East Side,Manhattan
10278,Post Office or large volume customer,New York,10278,Upper East Side,Manhattan
10279,Post Office or large volume customer,New York,10279,Upper East Side,Manhattan
10280,ZIP Code area,New York,10280,Battery Park City,Manhattan
10285,Post Office or large volume customer,New York,10280,Battery Park City,Manhattan
10080,Post Office or large volume customer,New York,10282,"Tribeca, Financial District",Manhattan
10281,Post Office or large volume customer,New York,10282,"Tribeca, Financial District",Manhattan
10282,ZIP Code area,New York,10282,"Tribeca, Financial District",Manhattan
10301,ZIP Code area,Staten Island,10301,"New Brighton, St. George, Tompkinsville, Silver Lake, Sunnyside",Staten Island
10302,ZIP Code area,Staten Island,10302,Elm Park,Staten Island
10303,ZIP Code area,Staten Island,10303,"Arlington, Marines Harbor",Staten Island
10304,ZIP Code area,Staten Island,10304,"Clifton, Grasmere, Fox Hills, Park Hill, Todt Hill, Stapleton",Staten Island
10305,ZIP Code area,Staten Island,10305,"Arrochar, Concord, Grasmere, Fort Wadsworth, Shore Acres, Rosebank",Staten Island
10306,ZIP Code area,Staten Island,10306,"Arrochar, Concord, Grasmere, Fort Wadsworth, Shore Acres, Rosebank",Staten Island
10307,ZIP Code area,Staten Island,10307,"Arrochar, Concord, Grasmere, Fort Wadsworth, Shore Acres, Rosebank",Staten Island
10308,ZIP Code area,Staten Island,10308,Great Kills,Staten Island
10309,ZIP Code area,Staten Island,10309,"Charleston, Prince's Bay",Staten Island
10310,ZIP Code area,Staten Island,10310,"Port Richmond, West Brighton, Edwin Markham Gardens",Staten Island
10311,Post Office or large volume customer,Staten Island,10311,"Port Richmond, West Brighton, Edwin Markham Gardens",Staten Island
10312,ZIP Code area,Staten Island,10312,"Port Richmond, West Brighton, Edwin Markham Gardens",Staten Island
10313,Post Office or large volume customer,Staten Island,10314,"Bloomsfield, Chelsea, Bulls Head, Graniteville, Westerleigh, Castelton Corners, Manor Heights, New Springville, Heartland Village",Staten Island
10314,ZIP Code area,Staten Island,10314,"Bloomsfield, Chelsea, Bulls Head, Graniteville, Westerleigh, Castelton Corners, Manor Heights, New Springville, Heartland Village",Staten Island
10451,ZIP Code area,Bronx,10451,? (is a point on the map),Bronx
10452,ZIP Code area,Bronx,10452,"Highbridge, Mt Eden",Bronx
10453,ZIP Code area,Bronx,10453,"Morris Heights, University Heights",Bronx
10454,ZIP Code area,Bronx,10454,"Mott Haven, Port Morris",Bronx
10455,ZIP Code area,Bronx,10455,? (is a point on the map),Bronx
10456,ZIP Code area,Bronx,10456,? (is a point on the map),Bronx
10457,ZIP Code area,Bronx,10457,"West Bronx, Mt Hope, Tremont, Belmont",Bronx
10458,ZIP Code area,Bronx,10458,"Fordham, Belmont",Bronx
10459,ZIP Code area,Bronx,10459,Foxhurst,Bronx
10460,ZIP Code area,Bronx,10460,"Charlotte Gardens, West Farms, Van Nest",Bronx
10461,ZIP Code area,Bronx,10461,"Morris Park, Middletown-Pelham Bay, Westchester Square",Bronx
10462,ZIP Code area,Bronx,10462,"Parkchester, East Bronx",Bronx
10463,ZIP Code area,Bronx,10463,"Kingsbridge, Spuyten Duyvil, Marble Hill",Bronx
10464,ZIP Code area,Bronx,10464,"City Island, Hart Island",Bronx
10465,ZIP Code area,Bronx,10465,"Throgs Neck, Schuylerville",Bronx
10466,ZIP Code area,Bronx,10466,"Wakefield, Edenwald",Bronx
10467,ZIP Code area,Bronx,10467,"Norwood, Olinville, Allerton",Bronx
10468,ZIP Code area,Bronx,10468,"Jerome Park, Fordham Manor, Fordham Heights",Bronx
10469,ZIP Code area,Bronx,10469,"Laconia, Pelham Gardens, Baychester",Bronx
10470,ZIP Code area,Bronx,10470,Woodlawn Heights,Bronx
10471,ZIP Code area,Bronx,10471,Riverdale,Bronx
10472,ZIP Code area,Bronx,10472,"Soundview, Unionport",Bronx
10473,ZIP Code area,Bronx,10473,"Clason Point, Castle Hill, Shorehaven",Bronx
10474,ZIP Code area,Bronx,10474,Hunts Point,Bronx
10475,ZIP Code area,Bronx,10475,"Eastchester, Co-Op City",Bronx
11001,ZIP Code area,Floral Park,11001,Floral Park,Queens
11002,Post Office or large volume customer,Floral Park,11001,Floral Park,Queens
11003,ZIP Code area,Elmont,11003,Floral Park,Queens
